variavel;ano;regiao;valor
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;AGUA RASA;39
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;ALTO DE PINHEIROS;8
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;ANHANGUERA;73
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;ARICANDUVA;14
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;ARTUR ALVIM;79
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;BARRA FUNDA;2
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;BELA VISTA;29
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;BELEM;57
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;BOM RETIRO;45
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;BRAS;13
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;BRASILANDIA;135
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;BUTANTA;49
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CACHOEIRINHA;74
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CAMBUCI;12
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CAMPO BELO;20
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CAMPO GRANDE;29
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CAMPO LIMPO;157
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CANGAIBA;138
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CAPAO REDONDO;152
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CARRAO;49
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CASA VERDE;111
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CIDADE ADEMAR;92
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CIDADE DUTRA;70
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CIDADE LIDER;72
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CIDADE TIRADENTES;165
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CONSOLACAO;2
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;CURSINO;20
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;ERMELINO MATARAZZO;110
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;FREGUESIA DO O;97
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;GRAJAU;108
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;GUAIANASES;52
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;IGUATEMI;102
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;IPIRANGA;29
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;ITAIM BIBI;13
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;ITAIM PAULISTA;146
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;ITAQUERA;82
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JABAQUARA;68
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JACANA;47
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JAGUARA;8
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JAGUARE;69
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JARAGUA;116
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JARDIM ANGELA;135
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JARDIM HELENA;94
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JARDIM PAULISTA;5
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JARDIM SAO LUIS;104
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;JOSE BONIFACIO;38
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;LAJEADO;108
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;LAPA;28
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;LIBERDADE;15
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;LIMAO;49
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;MANDAQUI;33
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;MARSILAC;2
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;MOEMA;10
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;MOOCA;82
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;MORUMBI;37
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;PARELHEIROS;33
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;PARI;19
V0033-Alunos da rede municipal de ensino - raça/cor amarela;2022;PARQUE DO CARMO;24
